,image,edge_density,mean_h_channel,mean_s_channel,mean_v_channel,std_h_channel,std_s_channel,std_v_channel,cnn_symmetry_left_right,cnn_symmetry_up_down,slope_redies,fourier_sigma,2d_fractal_dimension,1st_order_eoe,room_type,reading,gaming,socializing,cleaning,playing,exercise,working,shopping,enclosed area,far-away horizon,open area,semi-enclosed area,bed,window ,cabinet,table,plant,chair,"painting, picture",sofa,lamp,cushion,flower,book,light,orientation5,length7,curvature7
1689,restaurant_5653.png,132.189,0.07309,0.3888,0.5875,0.08065,0.2933,0.281,0.3893,0.2764,-2.916,0.007345,1.41,3.908,restaurant,0.4436895031240159,0.253545474358832,0.5360731389514521,0.2685470099181625,0.2388555694371392,0.2201511587676159,0.3931825840324233,0.2396861239908162,0.7880129416594897,0.2207076603980134,0.2102240591924893,0.244187897707715,0,0,0,1,0,1,0,0,1,0,0,0,1,3471.44782574777,222.380284135652,16.7531064967943
1690,restaurant_5668.png,106.521,0.05184,0.5546,0.3741,0.07321,0.2065,0.271,0.4845,0.4388,-2.926,0.00833,1.355,4.348,restaurant,0.4801880824729923,0.296609763996669,0.5897139289085039,0.268261491458006,0.2325295743693507,0.2089546979349987,0.2879323287886527,0.2362874493719596,0.8045565580438236,0.3244501037213713,0.2280202269923634,0.2610765733480515,0,1,1,1,0,1,0,0,1,0,0,0,1,2084.85139896392,910.917629490599,11.1033083448208
1691,restaurant_5670.png,152.689,0.08922,0.3147,0.4758,0.2692,0.2179,0.2274,0.4854,0.348,-2.652,0.02525,1.512,4.05,restaurant,0.4943733725838162,0.2872969629384829,0.5726980380349382,0.2839829333803702,0.2636718010130731,0.2495343866529743,0.3494675815096996,0.2985249200854799,0.7201058120145267,0.2531024534633932,0.2415997627792381,0.2945388784365144,0,1,0,1,1,1,1,0,0,0,0,0,0,2933.91558275269,151.646670392839,32.3877994713467
1692,restaurant_5674.png,103.396,0.05349,0.3764,0.4205,0.103,0.1749,0.2203,0.4249,0.3618,-2.645,0.0233,1.45,3.619,restaurant,0.4581544218016397,0.2675199481019863,0.4844615012255239,0.2199748309432194,0.2116961057541305,0.2095301147163027,0.2875327067364138,0.2131148834355157,0.7489324283388782,0.228087591343583,0.2315947403747972,0.2376269877245767,0,0,0,1,1,1,1,0,1,0,0,0,1,2229.40996427611,0.0,18.2937708032369
1693,restaurant_5677.png,161.04,0.08153,0.7117,0.4694,0.09184,0.2158,0.2208,0.5536,0.4756,-2.415,0.004377,1.72,4.252,restaurant,0.3015301623665434,0.2735929664824121,0.4139753845838383,0.2493710443256722,0.2384973949664603,0.2093007074080537,0.3161832359453842,0.3665569140171794,0.5951051969068349,0.2721958488172712,0.3218865771693384,0.2955882105433976,0,0,1,1,0,1,1,0,1,0,0,1,1,2785.3468345941,139.23869980968,27.2335279568743
1694,restaurant_5692.png,103.317,0.002691,0.6203,0.3483,0.1331,0.2605,0.2211,0.5375,0.3784,-2.801,0.01112,1.397,4.296,restaurant,0.4511941071380423,0.2987762491061451,0.609022237204848,0.2674723004411648,0.2405872680432325,0.2188160126309719,0.2476199853436068,0.2081723632700329,0.7794783786208023,0.2257166031269548,0.2009189202700327,0.2811607202360853,0,0,1,1,0,1,1,0,1,0,1,0,0,2527.55083044431,145.204476127948,12.5510108048783
1695,restaurant_5694.png,123.322,0.07038,0.5455,0.3447,0.07332,0.3035,0.233,0.5372,0.48,-2.538,0.01744,1.54,4.181,restaurant,0.4143503274908418,0.3127817287097657,0.6222527591339156,0.2613359706901282,0.2404717422176297,0.2294971234059789,0.4019547810488292,0.3953456240842758,0.7270542395508455,0.2657951535724572,0.2260123522660997,0.2888357295307592,0,0,0,1,0,1,1,0,1,0,0,0,0,2630.29586518969,0.0,20.0629990110932
1696,restaurant_5696.png,105.6,0.1053,0.2764,0.4031,0.3399,0.164,0.2053,0.4548,0.3947,-2.572,0.01335,1.412,3.958,restaurant,0.4626548347178363,0.2845613981414606,0.4503993214792344,0.2667824208488072,0.2520280757869755,0.2313488696486891,0.2986554603148605,0.2273960925364516,0.656142960124437,0.2530879507851913,0.2517936658526598,0.358619063101358,0,0,1,1,0,1,1,0,1,0,0,0,1,3723.63266942622,315.438737151754,23.4524494388508
1697,restaurant_5701.png,131.794,0.04043,0.9481,0.5955,0.0297,0.0729,0.3451,0.4474,0.4019,-2.522,0.03192,1.465,3.808,restaurant,0.3601365673402442,0.2582275348773063,0.455959632238381,0.2486919316757431,0.2081457460039985,0.1851177648741119,0.3155741669422682,0.1950898844181564,0.6948784403222319,0.2968040879579197,0.2665873139294519,0.2580821650088079,0,0,1,1,0,1,1,1,0,0,0,0,1,1974.29683519116,899.01035707839,19.7853896061048
1698,restaurant_5704.png,121.086,0.9745,0.3796,0.3979,0.3081,0.2271,0.2608,0.4655,0.4319,-2.79,0.008137,1.38,4.033,restaurant,0.4712778183354066,0.3202674828045141,0.6126453105381168,0.2851726153735365,0.3132220327142581,0.2483648343146158,0.2983097964452902,0.3064310880311963,0.7100703504797038,0.2764542062438726,0.2854547323697124,0.3170314865380921,0,0,0,1,1,1,1,0,0,0,1,0,1,2606.97433137982,454.55028034881,9.70983394082931
