image,tense,energetic,valence,approach,room_type
bedroom__244.png,3.1666666666666665,3.7916666666666665,3.8260869565217392,3.9565217391304346,bedroom
bedroom__245.png,2.9583333333333335,3.5833333333333335,3.9130434782608696,3.9565217391304346,bedroom
bedroom__246.png,1.7083333333333333,2.7083333333333335,5.434782608695652,5.391304347826087,bedroom
bedroom__247.png,4.041666666666667,2.7083333333333335,3.4583333333333335,3.5833333333333335,bedroom
bedroom__248.png,2.8260869565217392,2.6956521739130435,4.125,3.8333333333333335,bedroom
bedroom__249.png,1.75,2.875,6.391304347826087,6.478260869565218,bedroom
bedroom__25.png,3.6666666666666665,4.041666666666667,3.1739130434782608,2.9130434782608696,bedroom
bedroom__250.png,1.8695652173913044,2.0434782608695654,4.0,3.7916666666666665,bedroom
bedroom__251.png,2.9166666666666665,2.5416666666666665,3.7916666666666665,3.7916666666666665,bedroom
bedroom__252.png,2.6666666666666665,2.625,3.5833333333333335,3.75,bedroom
bedroom__253.png,1.5416666666666667,2.2916666666666665,5.583333333333333,5.625,bedroom
bedroom__254.png,3.4285714285714284,3.142857142857143,3.217391304347826,3.0434782608695654,bedroom
bedroom__255.png,3.5,2.9166666666666665,3.5,3.5,bedroom
bedroom__256.png,2.625,3.4583333333333335,4.173913043478261,4.0,bedroom
bedroom__257.png,2.1666666666666665,3.2916666666666665,4.695652173913044,4.6521739130434785,bedroom
bedroom__258.png,3.2083333333333335,3.6666666666666665,3.909090909090909,3.727272727272727,bedroom
bedroom__259.png,2.7083333333333335,3.125,4.695652173913044,4.695652173913044,bedroom
bedroom__26.png,2.6956521739130435,2.0,3.75,3.4166666666666665,bedroom
bedroom__260.png,4.0,2.75,3.2916666666666665,3.375,bedroom
bedroom__261.png,2.6666666666666665,2.5833333333333335,4.695652173913044,4.739130434782608,bedroom
bedroom__262.png,2.5833333333333335,2.6666666666666665,5.166666666666667,5.208333333333333,bedroom
bedroom__263.png,3.5,2.9166666666666665,3.3043478260869565,3.0869565217391304,bedroom
bedroom__264.png,2.4166666666666665,2.5,4.478260869565218,4.521739130434782,bedroom
bedroom__265.png,3.1904761904761907,3.142857142857143,3.75,3.625,bedroom
bedroom__266.png,2.4166666666666665,2.6666666666666665,5.608695652173913,5.739130434782608,bedroom
bedroom__267.png,3.0416666666666665,3.0,4.6521739130434785,4.695652173913044,bedroom
bedroom__268.png,3.5833333333333335,2.8333333333333335,3.25,3.0,bedroom
bedroom__269.png,2.782608695652174,3.0,3.875,3.8333333333333335,bedroom
